token,occurrences,expected_result,is_interesting
pixi,2301,,
plusss,2301,,
wigiarto,2301,,
agamaku,2300,,
calculations,2300,,
chapter5,2300,,
diceritakannya,2300,,
gombloh,2300,,
jessi,2300,,
lapian,2300,,
lumpuhnya,2300,,
mames,2300,,
passionnya,2300,,
renderan,2300,,
rp81,2300,,
rp88,2300,,
sightseeing,2300,,
templar,2300,,
we’ll,2300,,
wrinkle,2300,,
1932the,2299,,
adamsthis,2299,,
aprillio,2299,,
asheshow,2299,,
bedthe,2299,,
beethe,2299,,
bmb,2299,,
cantolovers,2299,,
choicesjohn,2299,,
feministtop,2299,,
flamethrowersa,2299,,
gardenerextremely,2299,,
geniussteve,2299,,
gracegood,2299,,
grovetime,2299,,
hallinterpreter,2299,,
innovatorsthe,2299,,
jobsangela's,2299,,
kebondalem,2299,,
keeperlittle,2299,,
maladiesa,2299,,
maladieshard,2299,,
masterthe,2299,,
meanythe,2299,,
muskyes,2299,,
oceansbrooklynthe,2299,,
ourselvesthe,2299,,
ovethe,2299,,
penebel,2299,,
peoplesapienselon,2299,,
permeter,2299,,
playbooklife,2299,,
pleasedevil,2299,,
premix,2299,,
prizegrand,2299,,
pursuitteam,2299,,
resale,2299,,
rivalsrise,2299,,
ruleswolf,2299,,
rusydi,2299,,
sherrin,2299,,
strips,2299,,
toughthe,2299,,
vanitiesthe,2299,,
wallcreeperthe,2299,,
wallflowerthe,2299,,
wifeordinary,2299,,
2shares,2298,,
beritakini,2298,,
disana-sini,2298,,
flea,2298,,
guthrie,2298,,
jadoel,2298,,
karolina,2298,,
kora,2298,,
perugia,2298,,
prost,2298,,
terboyo,2298,,
zodiakglobalinternasionalsainshistoriunikpilpres,2298,,
cirendeu,2297,,
demamnya,2297,,
galleria,2297,,
godain,2297,,
honne,2297,,
luasannya,2297,,
radiology,2297,,
rindangnya,2297,,
rojes,2297,,
rp270,2297,,
starr,2297,,
sudiono,2297,,
toyoda,2297,,
trains,2297,,
ttic,2297,,
ypkp,2297,,
adds,2296,,
catheter,2296,,
danadiputra,2296,,
dari-nya,2296,,
fluent,2296,,
persayaratan,2296,,
picsart,2296,,
takabonerate,2296,,
virtualization,2296,,
celebrating,2295,,
cipining,2295,,
communicating,2295,,
counsel,2295,,
devil's,2295,,
fading,2295,,
hatchery,2295,,
hutchinson,2295,,
ipsum,2295,,
ird,2295,,
kiehl,2295,,
mertasari,2295,,
sanyoto,2295,,
terimakasi,2295,,
ybm,2295,,
ataturk,2294,,
chapters,2294,,
jodohku,2294,,
kаrеnа,2294,,
proving,2294,,
seam,2294,,
wildblood,2294,,
advise,2293,,
afro,2293,,
bottles,2293,,
catchment,2293,,
catlovers,2293,,
dependence,2293,,
livingstone,2293,,
memintamu,2293,,
pedan,2293,,
rayeuk,2293,,
solo-jogja,2293,,
adama,2292,,
alkoholnya,2292,,
augustine,2292,,
bout,2292,,
lenses,2292,,
libreoffice,2292,,
lossless,2292,,
marrakesh,2292,,
nuremberg,2292,,
predictor,2292,,
ridwansyah,2292,,
thorndike,2292,,
treating,2292,,
35rb,2291,,
dipertengahan,2291,,
i30,2291,,
kabartimur,2291,,
kedungwuni,2291,,
latina,2291,,
nomi,2291,,
radhika,2291,,
sakitdaya,2291,,
sjo,2291,,
srk,2291,,
versionnot,2291,,
anmum,2290,,
bartlett,2290,,
benarlah,2290,,
blanchard,2290,,
chairuddin,2290,,
makanatau,2290,,
ramalkan,2290,,
siroj,2290,,
thermos,2290,,
350rb,2289,,
byadmin,2289,,
françois,2289,,
kardashians,2289,,
keyup,2289,,
prisoner,2289,,
rct,2289,,
regumen,2289,,
0b,2288,,
100mm,2288,,
aew,2288,,
agst,2288,,
bukti2,2288,,
curhatannya,2288,,
difable,2288,,
hahhaha,2288,,
investigative,2288,,
masayoshi,2288,,
mgi,2288,,
sebaginya,2288,,
unlike,2288,,
crysis,2287,,
deaf,2287,,
iostream,2287,,
kanban,2287,,
kineforum,2287,,
miramar,2287,,
mld,2287,,
otrip,2287,,
rismawan,2287,,
smangat,2287,,
spinoff,2287,,
teling,2287,,
vietjet,2287,,
deploy,2286,,
embu,2286,,
idha,2286,,
jpss,2286,,
juventini,2286,,
kabgor,2286,,
kebangaan,2286,,
mudanews,2286,,
paige,2286,,
persegipanjang,2286,,
trianggulasi,2286,,
banjarangkan,2285,,
digarapnya,2285,,
ending-nya,2285,,
humasprovkaltim,2285,,
intravenous,2285,,
keinginanku,2285,,
kompaknya,2285,,
melaksanaan,2285,,
pleated,2285,,
pra-registrasi,2285,,
riansyah,2285,,
romario,2285,,
tunes,2285,,
vomiting,2285,,
akam,2284,,
arryani,2284,,
cheol,2284,,
pikirlah,2284,,
prok,2284,,
providence,2284,,
raissa,2284,,
rosulullah,2284,,
shonet,2284,,
siltap,2284,,
sum-sum,2284,,
xtream,2284,,
astaxanthin,2283,,
besar2an,2283,,
biringkanaya,2283,,
cath,2283,,
cse,2283,,
feidie,2283,,
fremantle,2283,,
makayasa,2283,,
meneleponnya,2283,,
molten,2283,,
one-way,2283,,
remigo,2283,,
tiberias,2283,,
topology,2283,,
ulseratif,2283,,
2015pdftextoriginal,2282,,
comunication,2282,,
eksperimennya,2282,,
petama,2282,,
practise,2282,,
reinventing,2282,,
stf,2282,,
syukur2,2282,,
cs5,2281,,
ektra,2281,,
grocery,2281,,
ijms,2281,,
kepridays,2281,,
lindawati,2281,,
maksut,2281,,
neverland,2281,,
tapii,2281,,
actively,2280,,
lasusua,2280,,
markaz,2280,,
menjenguknya,2280,,
meragukannya,2280,,
pipes,2280,,
reimbursement,2280,,
scrubber,2280,,
winters,2280,,
wrna,2280,,
ayudya,2279,,
battles,2279,,
hossein,2279,,
irp,2279,,
kemandiriannya,2279,,
khairudin,2279,,
laboratoriumnya,2279,,
mardiaz,2279,,
masengi,2279,,
motormu,2279,,
sambungmacan,2279,,
wowcantik,2279,,
yanglebih,2279,,
coupons,2278,,
girian,2278,,
guingamp,2278,,
hipotetik,2278,,
hmmmmm,2278,,
materia,2278,,
organs,2278,,
oxidation,2278,,
penafsirannya,2278,,
prominent,2278,,
rampal,2278,,
saxon,2278,,
150ml,2277,,
acara2,2277,,
atao,2277,,
azolla,2277,,
bersama2,2277,,
collider,2277,,
cores,2277,,
dikehidupan,2277,,
frd,2277,,
impress,2277,,
indonesiatoday,2277,,
kejaksan,2277,,
smallest,2277,,
viewtopic,2277,,
adalam,2276,,
aparaturnya,2276,,
bosong,2276,,
brosnan,2276,,
concord,2276,,
djamaludin,2276,,
foreman,2276,,
grabpay,2276,,
gratitude,2276,,
hyperactivity,2276,,
jovita,2276,,
keramaslah,2276,,
ketuai,2276,,
maknyos,2276,,
nomernya,2276,,
pedekate,2276,,
ptps,2276,,
qualities,2276,,
rsab,2276,,
taipa,2276,,
thv,2276,,
wildansyah,2276,,
yasona,2276,,
amrie,2275,,
ariansyah,2275,,
budgetary,2275,,
dtt,2275,,
guitars,2275,,
i-2015,2275,,
mnl,2275,,
revit,2275,,
ruhi,2275,,
se-jakarta,2275,,
suudzon,2275,,
tolstoy,2275,,
worldview,2275,,
yea,2275,,
lovedotcom,2274,,
maneger,2274,,
mnp,2274,,
negar,2274,,
pdfview,2274,,
perse,2274,,
sumpiuh,2274,,
tranparansi,2274,,
tuduhannya,2274,,
wxga,2274,,
xanthone,2274,,
crvena,2273,,
interpretasinya,2273,,
kemdagri,2273,,
krypton,2273,,
ome,2273,,
persistence,2273,,
suis,2273,,
swinger,2273,,
bally,2272,,
bartholin,2272,,
cacatdampak,2272,,
dermatix,2272,,
dyer,2272,,
fbid,2272,,
fukui,2272,,
hamilsantapan,2272,,
lesser,2272,,
mamic,2272,,
mbua,2272,,
semburkan,2272,,
tiasa,2272,,
uninstal,2272,,
wcs,2272,,
zimmerman,2272,,
2thn,2271,,
arbitration,2271,,
bimoli,2271,,
calculating,2271,,
detikers,2271,,
ditujukkan,2271,,
facebooker,2271,,
hipotesisnya,2271,,
kipling,2271,,
kuntadi,2271,,
livoli,2271,,
lokomotor,2271,,
rudyanto,2271,,
sediri,2271,,
bencoolen,2270,,
ecclestone,2270,,
editornya,2270,,
funtastic,2270,,
ladangnya,2270,,
neurogenik,2270,,
nimo,2270,,
padanannya,2270,,
pembakarannya,2270,,
springfield,2270,,
ssri,2270,,
tintahijau,2270,,
wagir,2270,,
atlus,2269,,
cvd,2269,,
fptk,2269,,
indogamers,2269,,
intepretasi,2269,,
klikharry,2269,,
lambaro,2269,,
obvious,2269,,
rajiv,2269,,
stimik,2269,,
suppl,2269,,
villeneuve,2269,,
woori,2269,,
yohanna,2269,,
difinalisasi,2268,,
dokument,2268,,
garputala,2268,,
imersif,2268,,
jelitha,2268,,
kalanick,2268,,
memaksimalkannya,2268,,
mt-09,2268,,
ona,2268,,
onclick,2268,,
pmprb,2268,,
prasetijo,2268,,
pricey,2268,,
pu-pr,2268,,
raindoz,2268,,
screenshots,2268,,
september-oktober,2268,,
sjcam,2268,,
t-nsm,2268,,
umeda,2268,,
deface,2267,,
denzel,2267,,
jakub,2267,,
kidihae,2267,,
nutribaby,2267,,
partaisocmed,2267,,
sk-nya,2267,,
tones,2267,,
tweeps,2267,,
v6i2,2267,,
warso,2267,,
weil,2267,,
25m,2266,,
bntu,2266,,
bookstore,2266,,
cherly,2266,,
confidentiality,2266,,
denuvo,2266,,
dipending,2266,,
disampikan,2266,,
garcía,2266,,
jalasutra,2266,,
klathak,2266,,
lakinya,2266,,
meletup-letup,2266,,
mifta,2266,,
promised,2266,,
thorig,2266,,
triyana,2266,,
bumn-bumn,2265,,
diperkotaan,2265,,
icuk,2265,,
incess,2265,,
izmir,2265,,
kazuki,2265,,
lorenz,2265,,
memecah-belah,2265,,
nelwan,2265,,
pec,2265,,
rabu-kamis,2265,,
regeneration,2265,,
speks,2265,,
sppa,2265,,
tumi,2265,,
vgen,2265,,
batching,2264,,
bdm,2264,,
burr,2264,,
dilaksakan,2264,,
futuristic,2264,,
havas,2264,,
hewitt,2264,,
hirschsprung,2264,,
i-2016,2264,,
jaenal,2264,,
melodic,2264,,
menyempurnakannya,2264,,
merekomendasikannya,2264,,
pallidum,2264,,
poses,2264,,
sinisa,2264,,
sintia,2264,,
sovia,2264,,
suhardjo,2264,,
astor,2263,,
bantu-bantu,2263,,
bapelkes,2263,,
coop,2263,,
diavolo,2263,,
djaelani,2263,,
fenati,2263,,
font-style,2263,,
glo,2263,,
jakata,2263,,
marlinda,2263,,
merson,2263,,
polinom,2263,,
prefill,2263,,
tinampi,2263,,
22x,2262,,
alasanmu,2262,,
daftarin,2262,,
irmawan,2262,,
kesawan,2262,,
nonlinier,2262,,
palawan,2262,,
pempus,2262,,
soekarjo,2262,,
adies,2261,,
berhasi,2261,,
dapatin,2261,,
diaphragm,2261,,
hayek,2261,,
hermin,2261,,
kusumadewi,2261,,
lgx,2261,,
scrum,2261,,
skore,2261,,
bavarian,2260,,
concentrated,2260,,
ditemuin,2260,,
donwload,2260,,
geter,2260,,
go-life,2260,,
kolopaking,2260,,
menanggungnya,2260,,
nglambor,2260,,
plastics,2260,,
primarily,2260,,
sunjaya,2260,,
tarore,2260,,
traditions,2260,,
ѕааt,2260,,
dcp,2259,,
diseputaran,2259,,
estoril,2259,,
gos,2259,,
krab,2259,,
piker,2259,,
sodaranya,2259,,
sro,2259,,
terminalnya,2259,,
xz2,2259,,
a39,2258,,
bioware,2258,,
bovine,2258,,
conteh,2258,,
djelantik,2258,,
engkus,2258,,
jurnalistiknya,2258,,
markit,2258,,
mendoakannya,2258,,
menempelnya,2258,,
natsume,2258,,
rusiana,2258,,
sedikit2,2258,,
valentinus,2258,,
butuan,2257,,
depoktren,2257,,
eljabar,2257,,
kelembagaannya,2257,,
kesatrian,2257,,
menantinya,2257,,
opposition,2257,,
pejagoan,2257,,
soeryadjaya,2257,,
yetty,2257,,
accountable,2256,,
amalnya,2256,,
bendabenda,2256,,
duwur,2256,,
hainam,2256,,
kabinda,2256,,
knocking,2256,,
kumpeh,2256,,
llj,2256,,
meneriakan,2256,,
ngenet,2256,,
pelajar-pelajar,2256,,
pniel,2256,,
ranny,2256,,
rdrk,2256,,
stata,2256,,
tracklist,2256,,
wavin,2256,,
bnb,2255,,
darda,2255,,
fitrahnya,2255,,
handry,2255,,
marvell,2255,,
menj,2255,,
oktober-desember,2255,,
pelukannya,2255,,
pembicaranya,2255,,
rhf,2255,,
ro-ro,2255,,
satmoko,2255,,
socialdrop,2255,,
sr28,2255,,
waduhh,2255,,
agannya,2254,,
barends,2254,,
connolly,2254,,
dietrich,2254,,
dlna,2254,,
e46,2254,,
goethe-institut,2254,,
jarimu,2254,,
kutasari,2254,,
pahoe,2254,,
sebelahan,2254,,
seemed,2254,,
silindernya,2254,,
spartacks,2254,,
tumewu,2254,,
visionary,2254,,
agis,2253,,
aun-qa,2253,,
brawl,2253,,
coocaa,2253,,
ibaraki,2253,,
jamila,2253,,
kafka,2253,,
lp3,2253,,
mahenra,2253,,
menyuntikan,2253,,
plastida,2253,,
snn,2253,,
terkuatnya,2253,,
wajibnya,2253,,
adsbygoogle,2252,,
aimee,2252,,
angkatlah,2252,,
avenida,2252,,
betting,2252,,
cbr500r,2252,,
christiana,2252,,
fatf,2252,,
hepburn,2252,,
lineker,2252,,
mtt,2252,,
pann,2252,,
rasyidi,2252,,
rpkad,2252,,
samarang,2252,,
slogohimo,2252,,
supuratif,2252,,
ukra,2252,,
vhb,2252,,
wem,2252,,
willi,2252,,
biol,2251,,
gcp,2251,,
iranian,2251,,
lumbantoruan,2251,,
melintasinya,2251,,
merton,2251,,
natur-e,2251,,
pantotenat,2251,,
recine,2251,,
senyummu,2251,,
shimbun,2251,,
siladen,2251,,
syarat2,2251,,
technica,2251,,
tpia,2251,,
5in,2250,,
arrhenius,2250,,
backcase,2250,,
batubulan,2250,,
ebagai,2250,,
fabrizio,2250,,
fpt,2250,,
here's,2250,,
infokampusnews,2250,,
kipuw,2250,,
kusmana,2250,,
mendoyo,2250,,
mengaguminya,2250,,
mursyidan,2250,,
salmah,2250,,
sesuaian,2250,,
siginjai,2250,,
tentena,2250,,
bch,2249,,
behringer,2249,,
jamudigital,2249,,
kelolanya,2249,,
limitations,2249,,
manisrenggo,2249,,
mantapnya,2249,,
mbois,2249,,
odong,2249,,
orc,2249,,
pengucapannya,2249,,
reflections,2249,,
reps,2249,,
satchel,2249,,
sensatia,2249,,
smcb,2249,,
viewsembeddownloadcategories,2249,,
amaroossa,2248,,
francesca,2248,,
incubation,2248,,
juluki,2248,,
keren10,2248,,
lamhot,2248,,
lasinrang,2248,,
lht,2248,,
lichen,2248,,
mejaga,2248,,
pendidikanby,2248,,
rmo,2248,,
roastery,2248,,
tierney,2248,,
unru,2248,,
valle,2248,,
yurike,2248,,
aloud,2247,,
conferencing,2247,,
ifv,2247,,
jeremiah,2247,,
k15,2247,,
mindcommonline,2247,,
prospects,2247,,
provinces,2247,,
srinagar,2247,,
tugastugas,2247,,
warsliga,2247,,
akunmu,2246,,
apreasiasi,2246,,
bokapnya,2246,,
fallopi,2246,,
gontha,2246,,
indo-australia,2246,,
kisworo,2246,,
