token,occurrences,expected_result,is_interesting
selebriti1,5512,,
atleti,5511,,
ditiap,5511,,
frequent,5511,,
lhoksukon,5511,,
memorinya,5511,,
motta,5511,,
nakula,5511,,
stabilkan,5511,,
abal2,5510,,
b2c,5510,,
complexity,5509,,
dipertandingan,5509,,
jec,5509,,
yamaguchi,5509,,
pertanyaanya,5508,,
limbong,5507,,
narrow,5507,,
blkg,5506,,
kurio,5506,,
teenage,5506,,
basics,5505,,
blanket,5505,,
sutradaranya,5505,,
arafat,5504,,
huntington,5504,,
jens,5504,,
bsp,5503,,
e9,5503,,
aunur,5502,,
lawson,5502,,
polska,5502,,
resist,5502,,
sponsori,5502,,
seats,5501,,
tabuni,5501,,
applicable,5500,,
chua,5500,,
faced,5500,,
knalpotnya,5500,,
mangera,5500,,
sophisticated,5500,,
bms,5498,,
istaka,5498,,
p7,5497,,
pk-lqp,5497,,
chevy,5496,,
kocaknya,5496,,
moredate,5496,,
sle,5496,,
12gb,5495,,
herd,5495,,
oba,5495,,
rahadi,5495,,
razr,5494,,
spunbond,5494,,
withdrawal,5494,,
stenly,5493,,
grounded,5491,,
dikendarainya,5490,,
nesia,5490,,
onno,5490,,
sistar,5490,,
spectacular,5490,,
adegannya,5487,,
expedisi,5487,,
hutannya,5487,,
plastiknya,5487,,
sutono,5487,,
jaos,5486,,
koke,5486,,
fairness,5485,,
infections,5485,,
anti-lock,5484,,
cicilannya,5483,,
majestic,5482,,
seeker,5482,,
arafura,5481,,
batusangkar,5481,,
missed,5481,,
r80,5481,,
ritz-carlton,5481,,
sudarman,5481,,
torsinya,5481,,
cto,5479,,
hestu,5479,,
aurelia,5478,,
mbu,5478,,
putra-putrinya,5478,,
typhi,5478,,
bangettt,5477,,
epulsa,5477,,
forming,5477,,
hdtv,5477,,
jaipur,5477,,
lk21,5477,,
rdt,5477,,
daarut,5476,,
lyodra,5475,,
polypropylene,5475,,
remains,5475,,
windshield,5475,,
pooh,5474,,
momentumnya,5473,,
pekannya,5473,,
equalizer,5472,,
moratti,5472,,
panam,5472,,
sukaesih,5472,,
axle,5471,,
kidzania,5471,,
rahardja,5471,,
eben,5470,,
gondanglegi,5470,,
pengadaannya,5470,,
ibc,5469,,
railink,5469,,
sensors,5469,,
wan-bissaka,5468,,
brass,5467,,
fera,5467,,
harefa,5466,,
indonesia-australia,5466,,
aap,5465,,
penukal,5465,,
waiter,5465,,
cbr1000rr,5463,,
friction,5463,,
marsinah,5463,,
mukri,5463,,
munarman,5463,,
nazarudin,5463,,
peoples,5463,,
ard,5462,,
millendaru,5462,,
000mah,5461,,
contacts,5461,,
hands-on,5461,,
bridestory,5460,,
bayarin,5459,,
ototnya,5459,,
sjafrie,5459,,
soputan,5459,,
zanetti,5459,,
allium,5458,,
doors,5458,,
bukik,5457,,
joknya,5457,,
regulated,5457,,
volta,5457,,
wkwkkw,5457,,
basoeki,5456,,
ainur,5455,,
daniels,5455,,
schengen,5455,,
ajaa,5454,,
jav,5454,,
rezaldi,5454,,
scheduling,5454,,
glyceryl,5453,,
dicari-cari,5452,,
prasta,5452,,
thinq,5452,,
adhy,5451,,
batinnya,5451,,
gj,5451,,
sulfate,5451,,
tanahlaut,5451,,
biasalah,5450,,
ngepost,5450,,
planetary,5450,,
ecg,5449,,
itera,5448,,
makarel,5448,,
aol,5447,,
flexibility,5447,,
klose,5447,,
pao,5447,,
ftz,5446,,
mbaknya,5446,,
pwc,5446,,
rehabilitation,5446,,
albab,5444,,
fila,5443,,
kiky,5443,,
otherwise,5443,,
gitarnya,5442,,
playbook,5442,,
rsk,5442,,
acceleration,5441,,
grunge,5441,,
immortal,5441,,
maurice,5441,,
dompetnya,5440,,
sukarya,5440,,
xxii,5440,,
frameborder,5439,,
gejayan,5439,,
vainglory,5439,,
castrol,5438,,
explained,5437,,
hepatis,5437,,
kepopulerannya,5437,,
recordset,5437,,
yusgiantoro,5437,,
chiron,5436,,
hany,5436,,
kx,5436,,
mortgage,5436,,
maknai,5435,,
sfa,5435,,
dirt,5434,,
rizwan,5434,,
setiabudhi,5434,,
tebing-tebing,5434,,
fendy,5433,,
mengujinya,5433,,
kedalamnya,5432,,
memeliharanya,5431,,
cherokee,5430,,
parks,5430,,
reyes,5430,,
badmintonindonesia,5429,,
penggunan,5429,,
resilience,5429,,
ukurnya,5429,,
burke,5428,,
silmy,5428,,
stored,5428,,
vokalnya,5428,,
dikolaborasikan,5427,,
indika,5427,,
istirahatkan,5427,,
memotongnya,5427,,
pilihanbencana,5427,,
sosial-politik,5427,,
irvanto,5426,,
tucano,5426,,
ubaidillah,5426,,
servisnya,5425,,
yuniarti,5425,,
apbk,5424,,
died,5424,,
аkаn,5424,,
irfendi,5423,,
mathieu,5423,,
infromasi,5422,,
tussauds,5422,,
indentitas,5421,,
jimi,5421,,
readmore,5421,,
bachelors,5420,,
bliss,5420,,
di-update,5420,,
laily,5420,,
low-end,5420,,
bendanya,5419,,
ditelinga,5419,,
menyembuhkannya,5419,,
compos,5418,,
samapi,5418,,
sofjan,5418,,
diabetic,5417,,
