token,occurrences,expected_result,is_interesting
melambat,63731,,
penindakan,63716,,
repsol,63711,,
piagam,63708,,
kronik,63684,,
predator,63684,,
roberto,63680,,
melek,63656,,
tapanuli,63654,,
borussia,63650,,
common,63615,,
bernapas,63607,,
disingkat,63603,,
keguguran,63603,,
diderita,63601,,
jagat,63596,,
diuraikan,63584,,
syaraf,63580,,
siswa-siswi,63576,,
direalisasikan,63572,,
perampokan,63564,,
disematkan,63550,,
kekecewaan,63546,,
alamiah,63541,,
pena,63537,,
dukuh,63525,,
pay,63519,,
esok,63503,,
ego,63491,,
meteorologi,63488,,
enim,63482,,
flek,63481,,
jenisnya,63474,,
prototype,63464,,
innova,63451,,
cadang,63439,,
js,63419,,
protection,63419,,
pinrang,63414,,
keberuntungan,63396,,
rekanan,63393,,
pacarnya,63388,,
carbon,63375,,
zulkifli,63367,,
kumpul,63364,,
bieber,63362,,
kapas,63361,,
tragis,63357,,
merambah,63348,,
larang,63344,,
tanggamus,63337,,
tn,63332,,
pejalan,63329,,
inklusi,63322,,
ransel,63316,,
resah,63308,,
guru-guru,63303,,
penghematan,63303,,
kilo,63292,,
managing,63282,,
antivirus,63278,,
olehnya,63250,,
jelajah,63244,,
selektif,63242,,
sekutu,63236,,
dukun,63217,,
publisher,63210,,
banned,63201,,
newcastle,63195,,
kaus,63189,,
ptk,63189,,
dicuci,63177,,
pcr,63175,,
buahnya,63152,,
spek,63152,,
beralamat,63126,,
milih,63106,,
antarmuka,63101,,
dijerat,63087,,
melompat,63083,,
membesarkan,63083,,
perjalanannya,63048,,
stone,63034,,
instruktur,63030,,
beratnya,63023,,
musa,63017,,
gelisah,63012,,
reliabilitas,63009,,
berlubang,63001,,
roboh,63000,,
lucinta,62983,,
polis,62980,,
azis,62973,,
bor,62965,,
padam,62964,,
perantara,62931,,
agribisnis,62929,,
tuntut,62928,,
diperlakukan,62926,,
rina,62917,,
operating,62902,,
pedrosa,62896,,
kyk,62891,,
etc,62884,,
penyiapan,62882,,
ketimpangan,62879,,
reseptor,62878,,
inspektur,62871,,
events,62848,,
proporsional,62845,,
ikm,62837,,
bo,62824,,
labu,62824,,
kebohongan,62805,,
ngak,62784,,
deal,62782,,
gejolak,62768,,
kasad,62761,,
lindung,62754,,
terpuruk,62751,,
pendaki,62742,,
kingdom,62728,,
cable,62725,,
tulisannya,62719,,
pbsi,62711,,
saturday,62709,,
kedisiplinan,62705,,
dry,62688,,
charging,62675,,
tuliskan,62673,,
trafford,62669,,
genggam,62664,,
pcx,62643,,
usut,62639,,
haru,62636,,
steril,62615,,
historis,62609,,
british,62591,,
sanchez,62583,,
elektronika,62582,,
erdogan,62581,,
cancel,62578,,
pengangkutan,62557,,
titik-titik,62554,,
madya,62550,,
debt,62546,,
petrus,62546,,
magazine,62540,,
instagramnya,62520,,
vehicle,62507,,
scott,62488,,
character,62479,,
pendengar,62475,,
litbang,62469,,
path,62456,,
far,62444,,
naungan,62437,,
kopling,62433,,
shutterstock,62422,,
dijanjikan,62399,,
hijrah,62385,,
pembesaran,62382,,
ekologi,62377,,
artist,62370,,
pengarahan,62369,,
menyimpang,62353,,
hk,62351,,
berpusat,62343,,
load-icon,62330,,
dam,62329,,
singkawang,62327,,
dibawakan,62316,,
snack,62314,,
pencak,62308,,
uv,62296,,
phd,62295,,
pkm,62292,,
pembatas,62285,,
trail,62284,,
editing,62275,,
perebutan,62237,,
siapakah,62225,,
dimanapun,62212,,
3x,62194,,
pilek,62189,,
rudiantara,62182,,
katun,62179,,
sweet,62157,,
katarak,62148,,
melebar,62143,,
edema,62122,,
always,62117,,
saragih,62116,,
chen,62106,,
meghan,62089,,
lisa,62080,,
menguraikan,62074,,
talkshow,62070,,
jang,62068,,
standart,62061,,
mengklik,62057,,
mengabdi,62046,,
teaser,62041,,
ramli,62012,,
harvard,62010,,
pencerahan,61994,,
termotivasi,61986,,
serapan,61977,,
pastor,61972,,
menjajal,61956,,
pemaparan,61916,,
jimmy,61914,,
tertidur,61898,,
lawang,61888,,
jogjakarta,61881,,
komplit,61881,,
progo,61861,,
come,61860,,
alfamart,61830,,
terowongan,61825,,
bjb,61810,,
menyempurnakan,61807,,
advan,61790,,
everything,61789,,
viagra,61767,,
selamatkan,61762,,
it's,61741,,
browsing,61738,,
ks,61722,,
penanda,61701,,
tiara,61696,,
umm,61696,,
petang,61693,,
illegal,61688,,
kpai,61677,,
kurir,61662,,
hanura,61639,,
kekasihnya,61624,,
reds,61614,,
teguran,61599,,
mewajibkan,61594,,
muh,61594,,
mengemas,61565,,
sabuk,61549,,
langkat,61544,,
sinjai,61538,,
rush,61515,,
penasihat,61512,,
berpihak,61474,,
cnbc,61459,,
prostat,61455,,
kesedihan,61447,,
memblokir,61439,,
enjoy,61429,,
kemang,61408,,
keren1,61402,,
kolombia,61400,,
kelangkaan,61381,,
menaklukkan,61370,,
bingkai,61366,,
aborsi,61364,,
bobby,61358,,
berebut,61349,,
rd,61344,,
panggul,61309,,
lembaga-lembaga,61302,,
trit,61295,,
meredam,61286,,
groupee,61282,,
dibekuk,61277,,
feedback,61265,,
contentmore,61251,,
deni,61245,,
networking,61242,,
furnitur,61236,,
informationshow,61235,,
eksotis,61212,,
males,61207,,
al-quran,61186,,
singa,61179,,
tapak,61178,,
utusan,61164,,
a1,61145,,
seat,61143,,
mohamed,61140,,
uploaded,61133,,
santan,61124,,
mulanya,61121,,
gi,61110,,
patokan,61104,,
ng,61098,,
diucapkan,61094,,
berbekal,61070,,
melukai,61054,,
va,61050,,
memperbanyak,61046,,
eksterior,61043,,
cemburu,61041,,
lembab,61038,,
salad,61026,,
didatangi,61023,,
vixion,61023,,
galian,61017,,
layani,61017,,
telegram,61004,,
dx,61001,,
perpanjang,61001,,
rekonsiliasi,60983,,
reses,60980,,
dikombinasikan,60979,,
sista,60973,,
nyala,60972,,
alangkah,60955,,
dimodifikasi,60941,,
keharusan,60936,,
pergelangan,60912,,
shoes,60909,,
benefit,60904,,
tree,60891,,
kesenangan,60880,,
luang,60877,,
pose,60877,,
chinese,60858,,
implikasi,60858,,
badminton,60839,,
konyol,60833,,
pick,60826,,
signifikansi,60826,,
atletik,60822,,
agam,60813,,
keajaiban,60803,,
mengeksplorasi,60795,,
buana,60791,,
menjunjung,60791,,
menjemput,60776,,
yup,60772,,
memperbarui,60766,,
penyusutan,60766,,
sir,60762,,
slides,60740,,
resepsi,60733,,
bug,60724,,
pelumas,60720,,
malioboro,60716,,
versus,60695,,
importir,60687,,
penilai,60670,,
rachman,60667,,
reaktif,60662,,
danramil,60657,,
berhubung,60645,,
candra,60634,,
panca,60626,,
menopang,60615,,
lebanon,60600,,
loss,60594,,
pengatur,60587,,
rokan,60577,,
anne,60576,,
mebel,60574,,
holiday,60559,,
sule,60559,,
aqua,60554,,
nabati,60550,,
bulus,60546,,
lewis,60545,,
menangkan,60541,,
berperilaku,60536,,
perfilman,60518,,
intelligence,60515,,
tape,60515,,
diringkus,60505,,
menyalakan,60504,,
iseng,60503,,
filed,60489,,
diburu,60480,,
kebijaksanaan,60459,,
sadari,60457,,
thai,60455,,
palm,60449,,
jurang,60435,,
perdata,60428,,
saiful,60427,,
stephen,60419,,
anestesi,60417,,
ringkas,60406,,
maung,60392,,
kepiting,60366,,
meminimalkan,60349,,
piece,60349,,
magnesium,60341,,
powder,60336,,
bugar,60332,,
gita,60319,,
merosot,60291,,
dimasa,60288,,
memfokuskan,60286,,
kemenko,60263,,
kece,60262,,
segudang,60250,,
sinilah,60249,,
mertua,60247,,
hendri,60224,,
mon,60217,,
kargo,60199,,
beckham,60189,,
oku,60179,,
kontraknya,60173,,
harris,60164,,
sabu-sabu,60146,,
bamsoet,60145,,
kuasai,60142,,
ones,60131,,
wakatobi,60117,,
dibongkar,60110,,
dinonaktifkan,60090,,
parasit,60083,,
bercampur,60081,,
manila,60054,,
hotman,60042,,
pepaya,60028,,
bir,60012,,
panji,60007,,
penggabungan,60003,,
incar,59993,,
searched,59978,,
gpu,59955,,
bakrie,59952,,
muna,59950,,
panci,59944,,
pemberontak,59941,,
making,59939,,
dibebankan,59925,,
juan,59923,,
rooney,59917,,
keraton,59896,,
samsat,59891,,
modified,59870,,
nyampe,59857,,
popok,59823,,
azhar,59820,,
konkret,59820,,
pagelaran,59819,,
kacau,59810,,
tongkat,59797,,
vera,59781,,
behavior,59780,,
