token,occurrences,expected_result,is_interesting
jng,4662,,
kidman,4662,,
lasting,4662,,
lewoleba,4662,,
subangkit,4662,,
trait,4662,,
aquascape,4661,,
klepek-klepek,4661,,
pesawahan,4661,,
sikumbang,4661,,
tmax,4661,,
dicemooh,4660,,
larissa,4660,,
margorejo,4660,,
mengepel,4660,,
spesifisitas,4660,,
temas,4660,,
terbunuhnya,4660,,
cassano,4659,,
depolarisasi,4659,,
mampuan,4659,,
menanyakannya,4659,,
renik,4659,,
sooko,4659,,
tend,4659,,
terngiang,4659,,
wisesa,4659,,
generalis,4658,,
killers,4658,,
leno,4658,,
tugasmu,4658,,
attractive,4657,,
kettle,4657,,
narmada,4657,,
pelantar,4657,,
piranha,4657,,
alat2,4656,,
bharata,4656,,
ngalam,4656,,
timbullah,4656,,
buli,4655,,
latpres,4655,,
permasalahkan,4655,,
syg,4655,,
villareal,4655,,
bendesa,4654,,
diinkubasi,4654,,
disadarkan,4654,,
earlier,4654,,
junita,4654,,
muswil,4654,,
naturalis,4654,,
pingkan,4654,,
terasering,4654,,
teti,4654,,
thapki,4654,,
influences,4653,,
meneruskannya,4653,,
pdi-perjuangan,4653,,
ultra-wide,4653,,
volcanic,4653,,
frontline,4652,,
limiter,4652,,
penyekapan,4652,,
btt,4651,,
cavill,4651,,
djauhari,4651,,
munthe,4651,,
programkan,4651,,
sariwangi,4651,,
subtipe,4651,,
alkhairaat,4650,,
bapak2,4650,,
gga,4650,,
maiden,4650,,
pbt,4650,,
perasaan-perasaan,4650,,
pneumotoraks,4650,,
salafy,4650,,
scribdmeet,4650,,
100x,4649,,
aigner,4649,,
constitutional,4649,,
komposter,4649,,
palyja,4649,,
akunting,4648,,
appreciation,4648,,
bera,4648,,
cfr,4648,,
hefner,4648,,
makai,4648,,
richmond,4648,,
sima,4648,,
udangnya,4648,,
300-an,4647,,
pengemban,4647,,
siddiq,4647,,
sipayung,4647,,
cunha,4646,,
ingusan,4646,,
renat,4646,,
rmoljabar,4646,,
zj,4646,,
cindera,4645,,
kyushu,4645,,
observe,4645,,
kalimaya,4644,,
kemukus,4644,,
manut,4644,,
peneduh,4644,,
sekkot,4644,,
simalakama,4644,,
sumarmo,4644,,
barli,4643,,
barn,4643,,
handel,4643,,
kaki2,4643,,
pungky,4643,,
zaenab,4643,,
zapata,4643,,
coronary,4642,,
dongle,4642,,
klarifikasinya,4642,,
negros,4642,,
rachmanto,4642,,
tjokroaminoto,4642,,
dicurahkan,4641,,
dunkin,4641,,
estu,4641,,
ketingkat,4641,,
lolowang,4641,,
turret,4641,,
widjajanto,4641,,
gibbs,4640,,
manajamen,4640,,
nissin,4640,,
relakan,4640,,
terhindari,4640,,
d0,4639,,
malibu,4639,,
periodenya,4639,,
pesonna,4639,,
streptokokus,4639,,
sulutonline,4639,,
bantingan,4638,,
crankshaft,4638,,
mengonfigurasi,4638,,
piru,4638,,
tmb,4638,,
b100,4637,,
diboikot,4637,,
halsey,4637,,
kabarinews,4637,,
sodiq,4637,,
wawasannya,4637,,
arguments,4636,,
ionik,4636,,
thee,4636,,
bismo,4635,,
fab,4635,,
keu,4635,,
lucifer,4635,,
mikroalga,4635,,
recreation,4635,,
bereskan,4634,,
berzina,4634,,
diservis,4634,,
reveal,4634,,
sharecontainer,4634,,
symantec,4634,,
taukah,4634,,
washliyah,4634,,
weton,4634,,
barbera,4633,,
chilli,4633,,
cipaku,4633,,
garfield,4633,,
mokodongan,4633,,
zalianty,4633,,
3cm,4632,,
atelier,4632,,
gelombangnya,4632,,
malintang,4632,,
benson,4631,,
febriyanti,4631,,
fonseca,4631,,
icrc,4631,,
indriyani,4631,,
kanton,4631,,
krayan,4631,,
pagedangan,4631,,
samanhudi,4631,,
suspensinya,4631,,
dying,4630,,
kema,4629,,
nebak,4629,,
pracimantoro,4629,,
ariawan,4628,,
baruna,4628,,
moga-moga,4628,,
senggolan,4628,,
unisi,4628,,
urug,4628,,
xxiii,4628,,
antarpribadi,4627,,
aoki,4627,,
file2,4627,,
isla,4627,,
kanda,4627,,
ndang,4627,,
non-akademik,4627,,
pembenci,4627,,
pharmacology,4627,,
rajagukguk,4627,,
romain,4627,,
terentang,4627,,
uy,4627,,
diikatkan,4626,,
editor's,4626,,
ekobis,4626,,
ekonometrika,4626,,
electoral,4626,,
kaunang,4626,,
mainaky,4626,,
planting,4626,,
syakir,4626,,
wik,4626,,
asymp,4625,,
bronkodilator,4625,,
ngelamar,4625,,
putik,4625,,
tagihannya,4625,,
tires,4625,,
commuterline,4624,,
decay,4624,,
graphical,4624,,
inpoh,4624,,
nutupin,4624,,
papah,4624,,
berasaskan,4623,,
bids,4623,,
catut,4623,,
kademangan,4623,,
kekuasan,4623,,
kilap,4623,,
krista,4623,,
luaskan,4623,,
mamang,4623,,
utrogestan,4623,,
vaskularisasi,4623,,
bayiminggu,4622,,
designnya,4622,,
lehman,4622,,
turnament,4622,,
mackenzie,4621,,
yearly,4621,,
brilink,4620,,
ramirez,4620,,
rupert,4620,,
tergigit,4620,,
kiaracondong,4619,,
luxembourg,4619,,
membully,4619,,
rp49,4619,,
sawojajar,4619,,
sentralistik,4619,,
sleek,4619,,
tarik-menarik,4619,,
zx-25r,4619,,
ciampea,4618,,
game2,4618,,
himalayan,4618,,
mengakhirinya,4618,,
mengerutkan,4618,,
pelosok-pelosok,4618,,
ramelan,4618,,
ruma,4618,,
successfully,4618,,
nets,4617,,
nikahnya,4617,,
penyutradaraan,4617,,
testament,4617,,
berterus,4616,,
ile,4616,,
logon,4616,,
perlakuannya,4616,,
truz,4616,,
lhok,4615,,
memalingkan,4615,,
aribowo,4614,,
mbb,4614,,
same-origin,4614,,
setipis,4614,,
sormin,4614,,
anggota-anggotanya,4613,,
balitanya,4613,,
ingkang,4613,,
kaohsiung,4613,,
kelengahan,4613,,
makers,4613,,
spectra,4613,,
sudh,4613,,
tweetembedtable,4613,,
ukdw,4613,,
20k,4612,,
arrest,4612,,
menghadapai,4612,,
no-cors,4612,,
terkonsolidasi,4612,,
webm,4612,,
h-10,4611,,
julu,4611,,
sectionlike,4611,,
tarno,4611,,
x-csrf-token,4611,,
charges,4610,,
csrf-token,4610,,
disisipi,4610,,
interoperabilitas,4610,,
januari-april,4610,,
lepasan,4610,,
menggebu,4610,,
palau,4610,,
pindai,4610,,
rightsidebardom,4610,,
ronal,4610,,
univesitas,4610,,
asops,4609,,
makruf,4609,,
moki,4609,,
tide,4609,,
aeruginosa,4608,,
delanggu,4608,,
divock,4608,,
imbut,4608,,
kecubung,4608,,
shubuh,4608,,
degradation,4607,,
kbl,4607,,
pandansari,4607,,
perhaps,4607,,
0d,4606,,
cepetan,4606,,
daley,4606,,
kahyangan,4606,,
pro-demokrasi,4606,,
tukeran,4606,,
¾f,4606,,
blackwell,4605,,
gestasi,4605,,
jambipos-online,4605,,
ketutup,4605,,
matematikawan,4605,,
menciduk,4605,,
mengayun,4605,,
mengumpul,4605,,
meutya,4605,,
weleri,4605,,
encok,4604,,
gulingkan,4604,,
husodo,4604,,
lekosit,4604,,
melajang,4604,,
ukulele,4604,,
upik,4604,,
vertex,4604,,
alaba,4603,,
boen,4603,,
businesses,4603,,
kelengkeng,4603,,
paltrow,4603,,
suprayogi,4603,,
brit,4602,,
dijajaki,4602,,
bertandafungsi,4601,,
didisain,4601,,
djaya,4601,,
edmund,4601,,
inlacinrahim,4601,,
kecapean,4601,,
mitigation,4601,,
putihhpl,4601,,
ecotourism,4600,,
langowan,4600,,
recharge,4600,,
referee,4600,,
reyhan,4600,,
tlc,4600,,
u3,4600,,
wearing,4600,,
gown,4599,,
ijtihad,4599,,
pagerank,4599,,
ppj,4599,,
sumardji,4599,,
adrenergik,4598,,
caping,4598,,
go-send,4598,,
ndalem,4598,,
penas,4598,,
46wow,4597,,
germo,4597,,
ggs,4597,,
impetigo,4597,,
medlineplus,4597,,
ngengat,4597,,
rubi,4597,,
sleeper,4597,,
teraniaya,4597,,
bebeknya,4596,,
cy,4596,,
dans,4596,,
dawson,4596,,
diuresis,4596,,
gemscool,4596,,
memboyongnya,4596,,
oily,4596,,
responsnya,4596,,
tonsilitis,4596,,
aline,4595,,
amoeba,4595,,
claro,4595,,
confirmation,4595,,
hammersonic,4595,,
leveling,4595,,
mezzanine,4595,,
pelitakarawang,4595,,
terakota,4595,,
tinypic,4595,,
abroad,4594,,
disimulasikan,4594,,
krimnya,4594,,
mlah,4594,,
serat-serat,4594,,
sermo,4594,,
breadtalk,4593,,
koster-ace,4593,,
kudanya,4593,,
makeover,4593,,
panjenengan,4593,,
rapatnya,4593,,
scenic,4593,,
tinnitus,4593,,
bolon,4592,,
mays,4592,,
palaran,4592,,
persedian,4592,,
vanny,4592,,
wok,4592,,
dikonsep,4591,,
greenscene,4591,,
penicillin,4591,,
penjahitan,4591,,
penjinak,4591,,
seling,4591,,
concerned,4590,,
courier,4590,,
hp-nya,4590,,
januari-september,4590,,
lufthi,4590,,
manfaat-manfaat,4590,,
mcmoran,4590,,
mustafi,4590,,
skors,4590,,
anti-oksidan,4589,,
belinda,4589,,
boboiboy,4589,,
centil,4589,,
exponential,4589,,
pelesir,4589,,
ragamnya,4589,,
rudiger,4589,,
seboroik,4589,,
tergali,4589,,
yki,4589,,
abilities,4588,,
aby,4588,,
farewell,4588,,
katekese,4588,,
konstantinopel,4588,,
ramadani,4588,,
antarwilayah,4587,,
calcio,4587,,
carik,4587,,
dalarn,4587,,
inaca,4587,,
kemenkopolhukam,4587,,
rivers,4587,,
ehem,4586,,
manoppo,4586,,
nomadic,4586,,
amido,4585,,
bulet,4585,,
fadhli,4585,,
kucoba,4585,,
procie,4585,,
t-mobile,4585,,
cfw,4584,,
deposits,4584,,
fig,4584,,
keretanya,4584,,
nbl,4584,,
shopify,4584,,
bersatunya,4583,,
choky,4583,,
hiperemesis,4583,,
kekasihmu,4583,,
keluarannya,4583,,
pelagis,4583,,
alf,4582,,
baran,4582,,
koesnaedi,4582,,
monokotil,4582,,
penyortiran,4582,,
runners,4582,,
spesifiknya,4582,,
adminnya,4581,,
ols,4581,,
pahamilah,4581,,
penamerdeka,4581,,
tid,4581,,
bibirmu,4580,,
commonly,4580,,
dimusuhi,4580,,
kemagnetan,4580,,
yahhh,4580,,
hadijah,4579,,
handsanitizer,4579,,
prelo,4579,,
rsal,4579,,
sawang,4579,,
sinurat,4579,,
sudirohusodo,4579,,
airdrop,4578,,
hes,4578,,
inspector,4578,,
