token,occurrences,expected_result,is_interesting
sempalan,2568,,
yuko,2568,,
bgp,2567,,
doctrine,2567,,
founders,2567,,
generalisata,2567,,
gonorrhoeae,2567,,
lemkari,2567,,
lubukpakam,2567,,
mangkei,2567,,
mangstab,2567,,
ngejunk,2567,,
peracikan,2567,,
potency,2567,,
purifikasi,2567,,
senses,2567,,
subsidinya,2567,,
terpecaya,2567,,
yangdapat,2567,,
april-juni,2566,,
daniati,2566,,
declared,2566,,
destructive,2566,,
karavan,2566,,
labyrinth,2566,,
mangut,2566,,
pananjung,2566,,
pengerjaanya,2566,,
persikad,2566,,
rumkital,2566,,
selajutnya,2566,,
smbuh,2566,,
berselebrasi,2565,,
emergence,2565,,
groceries,2565,,
hep,2565,,
ip67,2565,,
kelainan-kelainan,2565,,
pemungkas,2565,,
pengeluaran-pengeluaran,2565,,
restorative,2565,,
sucinya,2565,,
wkwkwkkw,2565,,
anggono,2564,,
bppk,2564,,
cihuy,2564,,
greatly,2564,,
hannibal,2564,,
hariannusantara,2564,,
memotretnya,2564,,
ncov,2564,,
ngerubah,2564,,
patani,2564,,
pemakanan,2564,,
pemprosesan,2564,,
simpatisannya,2564,,
tetikus,2564,,
ved,2564,,
zamora,2564,,
americans,2563,,
amk,2563,,
brpt,2563,,
cawalkot,2563,,
eczema,2563,,
ghostbusters,2563,,
kage,2563,,
keartisan,2563,,
komalasari,2563,,
luciana,2563,,
memvariasikan,2563,,
monogram,2563,,
pasarannya,2563,,
peck,2563,,
prosumer,2563,,
skylake,2563,,
stampede,2563,,
swh,2563,,
televisinya,2563,,
tergolek,2563,,
zeneos,2563,,
ariyo,2562,,
diadang,2562,,
dominator,2562,,
eiichiro,2562,,
gpt,2562,,
herni,2562,,
kelembabannya,2562,,
kerinduannya,2562,,
kudet,2562,,
lunturnya,2562,,
membrana,2562,,
ndlosor,2562,,
p22,2562,,
patar,2562,,
suasanya,2562,,
sudimara,2562,,
thieves,2562,,
berung,2561,,
bilyar,2561,,
borges,2561,,
bots,2561,,
branislav,2561,,
didlm,2561,,
dikte,2561,,
dual-band,2561,,
janan,2561,,
javanica,2561,,
kaul,2561,,
kikis,2561,,
nurcholish,2561,,
oscillator,2561,,
serin,2561,,
suradnyana,2561,,
uncategories,2561,,
berfrekuensi,2560,,
calyptra,2560,,
dilingkari,2560,,
fassbender,2560,,
hanifan,2560,,
hendar,2560,,
holtekamp,2560,,
ionosfer,2560,,
kompie,2560,,
nutrisionis,2560,,
revina,2560,,
setijowarno,2560,,
substansia,2560,,
syarakat,2560,,
terkhir,2560,,
attend,2559,,
chloramphenicol,2559,,
dipayungi,2559,,
gisela,2559,,
hipoglikemik,2559,,
iel,2559,,
klasterisasi,2559,,
muliawan,2559,,
primolut,2559,,
rahangnya,2559,,
return-1,2559,,
rp89,2559,,
se-sumut,2559,,
subakut,2559,,
teoretik,2559,,
wmp,2559,,
24cm,2558,,
atkins,2558,,
caceres,2558,,
co-ceo,2558,,
corpse,2558,,
cosmas,2558,,
ddu-du,2558,,
finna,2558,,
ja’far,2558,,
membenarkannya,2558,,
pekuncen,2558,,
psbl,2558,,
sertifikasinya,2558,,
setrip,2558,,
ailee,2557,,
anti-pancasila,2557,,
apakh,2557,,
bead,2557,,
gorok,2557,,
harpa,2557,,
hundreds,2557,,
kinda,2557,,
pemprop,2557,,
rempoa,2557,,
rp145,2557,,
ameks,2556,,
arinda,2556,,
destroyed,2556,,
dominus,2556,,
helmets,2556,,
kashima,2556,,
kupi,2556,,
kwarran,2556,,
likeforlike,2556,,
loreal,2556,,
pembuluh-pembuluh,2556,,
penganggarannya,2556,,
plk,2556,,
posh,2556,,
ringtones,2556,,
sulih,2556,,
suwignyo,2556,,
syuriah,2556,,
aphi,2555,,
ariwibowo,2555,,
diadaptasikan,2555,,
ditenangkan,2555,,
gamble,2555,,
klien-klien,2555,,
mbg,2555,,
menjelasakan,2555,,
mensetting,2555,,
monsoon,2555,,
naoya,2555,,
ninda,2555,,
wonten,2555,,
12m,2554,,
agustus-september,2554,,
andhy,2554,,
bercandaan,2554,,
herschel,2554,,
inipasti,2554,,
masase,2554,,
pemenjaraan,2554,,
seruya,2554,,
suiasa,2554,,
transek,2554,,
trout,2554,,
wwf-indonesia,2554,,
aspen,2553,,
at89s51,2553,,
bersholawat,2553,,
champiro,2553,,
daydream,2553,,
functionality,2553,,
hcs,2553,,
hertasning,2553,,
ichal,2553,,
jeumpa,2553,,
kegerahan,2553,,
laurentius,2553,,
marconi,2553,,
menembakan,2553,,
nichols,2553,,
nubuatan,2553,,
purchases,2553,,
siallagan,2553,,
stagen,2553,,
subversif,2553,,
sumberlawang,2553,,
trp,2553,,
arutmin,2552,,
badang,2552,,
dores,2552,,
flock,2552,,
jammer,2552,,
klampis,2552,,
manding,2552,,
parengkuan,2552,,
pesanlah,2552,,
prediabetes,2552,,
rabobank,2552,,
rakata,2552,,
s150,2552,,
tersisihkan,2552,,
vokalisnya,2552,,
yankee,2552,,
carlson,2551,,
ciwandan,2551,,
followings,2551,,
fon,2551,,
go-viet,2551,,
igt,2551,,
isolates,2551,,
kukerta,2551,,
mengondisikan,2551,,
muaradua,2551,,
nista,2551,,
nnton,2551,,
sambungannya,2551,,
semaraknya,2551,,
vicenza,2551,,
vickers,2551,,
bersenandung,2550,,
bpiw,2550,,
dilihat-lihat,2550,,
elijah,2550,,
elm,2550,,
hipertermia,2550,,
kemmis,2550,,
menandatanganinya,2550,,
mensejajarkan,2550,,
microsdhc,2550,,
monera,2550,,
pinggir-pinggir,2550,,
pwon,2550,,
ranges,2550,,
selemadeg,2550,,
seni-budaya,2550,,
smpt,2550,,
tergesa,2550,,
terhasut,2550,,
tumpang-tindih,2550,,
yakk,2550,,
yetti,2550,,
acehportal,2549,,
aklimatisasi,2549,,
dihadiahkan,2549,,
inaicta,2549,,
kaveling,2549,,
laksmana,2549,,
m50,2549,,
plague,2549,,
predileksi,2549,,
rencanannya,2549,,
dhiya,2548,,
diringankan,2548,,
hidrologis,2548,,
kegiataan,2548,,
kostas,2548,,
krait,2548,,
kulisusu,2548,,
ladi,2548,,
m11,2548,,
ngelus,2548,,
penyerangnya,2548,,
terangkai,2548,,
teruna,2548,,
woha,2548,,
zahwa,2548,,
artajasa,2547,,
bahrum,2547,,
bsu,2547,,
customization,2547,,
datengnya,2547,,
dlakukan,2547,,
hanphone,2547,,
homeland,2547,,
iad,2547,,
pdn,2547,,
redbull,2547,,
risyal,2547,,
shri,2547,,
berahi,2546,,
consume,2546,,
disyahkan,2546,,
ginda,2546,,
membekalinya,2546,,
mutar,2546,,
spln,2546,,
telaumbanua,2546,,
teriris,2546,,
yayah,2546,,
zeth,2546,,
abdu,2545,,
acong,2545,,
biyan,2545,,
dimaz,2545,,
flames,2545,,
funtouch,2545,,
hoshi,2545,,
ketamakan,2545,,
kucai,2545,,
mlg,2545,,
nyempil,2545,,
qw,2545,,
rengkuh,2545,,
riaukepri,2545,,
tabayun,2545,,
terkininews,2545,,
topup,2545,,
v-aai-3s,2545,,
zedong,2545,,
0-liter,2544,,
bunta,2544,,
csp,2544,,
irfani,2544,,
kakak-kakaknya,2544,,
kerennn,2544,,
lla,2544,,
mataairradio,2544,,
meronta,2544,,
mmd,2544,,
moab,2544,,
myeongdong,2544,,
nene,2544,,
oligosakarida,2544,,
tanuwidjaja,2544,,
anti-bakteri,2543,,
capeknya,2543,,
dorayaki,2543,,
dvdrw,2543,,
episodes,2543,,
hadyen,2543,,
mando,2543,,
mantera,2543,,
mitrafm,2543,,
mtbs,2543,,
pretoria,2543,,
winarsih,2543,,
108mp,2542,,
60rb,2542,,
aspartam,2542,,
educate,2542,,
fulfilled,2542,,
il-6,2542,,
jojon,2542,,
kalidear,2542,,
kutalimbaru,2542,,
mbuh,2542,,
mubaligh,2542,,
padi-padian,2542,,
qosasi,2542,,
rc213v-s,2542,,
subyakto,2542,,
they’re,2542,,
triks,2542,,
aflatoksin,2541,,
besar2,2541,,
crcs,2541,,
eine,2541,,
followersnya,2541,,
kendaraaan,2541,,
ketidaksepakatan,2541,,
menyesalinya,2541,,
noviansyah,2541,,
paultan,2541,,
stinger,2541,,
viruses,2541,,
wamenhan,2541,,
berlogika,2540,,
bevel,2540,,
capaian-capaian,2540,,
congestion,2540,,
cun,2540,,
diaries,2540,,
dimakannya,2540,,
empower,2540,,
foul,2540,,
ijo2,2540,,
mempermasalahkannya,2540,,
praktikal,2540,,
radionuklida,2540,,
reagent,2540,,
rosana,2540,,
thesun,2540,,
xxix,2540,,
cmsize,2539,,
dikapalkan,2539,,
embrionik,2539,,
equations,2539,,
etsa,2539,,
jtp,2539,,
keantariksaan,2539,,
naja,2539,,
persipasi,2539,,
afra,2538,,
arnoldus,2538,,
batuah,2538,,
gentamicin,2538,,
hidupjadikan,2538,,
lambaian,2538,,
otoritasnya,2538,,
parwata,2538,,
penggarapannya,2538,,
perkonomian,2538,,
rp280,2538,,
sejumah,2538,,
sipri,2538,,
slingbag,2538,,
spklu,2538,,
tiker,2538,,
toxicity,2538,,
twill,2538,,
ujilah,2538,,
bwk,2537,,
emory,2537,,
mayangkara,2537,,
melebarnya,2537,,
ordinat,2537,,
penjarah,2537,,
progresivitas,2537,,
raa,2537,,
rohaniah,2537,,
romlah,2537,,
soepratman,2537,,
tomografi,2537,,
adek-adek,2536,,
arlan,2536,,
cyclops,2536,,
dibentak,2536,,
haemoglobin,2536,,
immobilisasi,2536,,
makana,2536,,
markers,2536,,
memuakkan,2536,,
oppenheimer,2536,,
ortax,2536,,
pemikul,2536,,
pertautan,2536,,
ranting-ranting,2536,,
remarkable,2536,,
rp79,2536,,
se-diy,2536,,
sekaranglah,2536,,
senamuang,2536,,
tagop,2536,,
whitehead,2536,,
2017jembatan,2535,,
celestial,2535,,
chapter4,2535,,
cursed,2535,,
ekskursi,2535,,
jurinya,2535,,
laksatif,2535,,
mouseover,2535,,
propanolol,2535,,
scholastika,2535,,
sebelu,2535,,
spesies-spesies,2535,,
tendo,2535,,
urut-urutan,2535,,
widyatmoko,2535,,
andria,2534,,
anima,2534,,
carefour,2534,,
dianugrahi,2534,,
disundul,2534,,
germanium,2534,,
hedon,2534,,
kragan,2534,,
kubota,2534,,
lebel,2534,,
malangan,2534,,
menghitamkan,2534,,
setiya,2534,,
skrup,2534,,
supposed,2534,,
vian,2534,,
accompanied,2533,,
airplay,2533,,
amfoang,2533,,
anning,2533,,
bppkb,2533,,
habis-habis,2533,,
kp3,2533,,
kplp,2533,,
mempecundangi,2533,,
miringkan,2533,,
nanotechnology,2533,,
pengkategorian,2533,,
persilatan,2533,,
pollycarpus,2533,,
saharuddin,2533,,
sandingkan,2533,,
snmp,2533,,
spider-verse,2533,,
terbahak,2533,,
user-friendly,2533,,
valentin,2533,,
aksan,2532,,
esterogen,2532,,
forumnya,2532,,
gevorkyan,2532,,
hansel,2532,,
interdependensi,2532,,
l16,2532,,
lanyalla,2532,,
lipan,2532,,
micky,2532,,
pembungaan,2532,,
picung,2532,,
3px,2531,,
ahda,2531,,
aritmatik,2531,,
babymetal,2531,,
cikoneng,2531,,
fasade,2531,,
inshaallah,2531,,
kehilangannya,2531,,
konser-konser,2531,,
labrak,2531,,
lupin,2531,,
memantaskan,2531,,
menukarnya,2531,,
miniseri,2531,,
moni,2531,,
normal-normal,2531,,
nutr,2531,,
pdri,2531,,
pemburuan,2531,,
rosewood,2531,,
scottish,2531,,
speedway,2531,,
tphd,2531,,
3000mah,2530,,
agroekoteknologi,2530,,
arcana,2530,,
bekasiwarga,2530,,
ceklist,2530,,
eisenhower,2530,,
kholifah,2530,,
lav,2530,,
mengembun,2530,,
menyensor,2530,,
owens,2530,,
plaster,2530,,
smbr,2530,,
tanihub,2530,,
universalitas,2530,,
yuniati,2530,,
begum,2529,,
ciao,2529,,
cipatujah,2529,,
didaratkan,2529,,
dipoligami,2529,,
