token,occurrences,expected_result,is_interesting
yang,170834138,,
dan,142519524,,
di,116227176,,
dengan,70142893,,
ini,69589141,,
untuk,66858074,,
dari,53716240,,
dalam,44354953,,
pada,39728660,,
tidak,35705952,,
itu,34774985,,
akan,31642024,,
juga,29076032,,
bisa,28307301,,
ada,25842581,,
ke,24221981,,
atau,23966085,,
adalah,21325933,,
indonesia,20718795,,
lebih,20000599,,
oleh,19908192,,
tersebut,19348143,,
karena,18961311,,
tahun,18580831,,
dapat,18340428,,
menjadi,17883672,,
saat,17497677,,
anda,16798177,,
saya,16686010,,
sebagai,16668625,,
sudah,16626637,,
kita,15633234,,
mereka,14036434,,
satu,13921133,,
orang,13506225,,
seperti,13499808,,
com,13481267,,
banyak,12453254,,
harus,12294881,,
telah,11195994,,
secara,11157315,,
bahwa,11062072,,
hal,10970255,,
kami,10909965,,
hanya,10884980,,
memiliki,10442649,,
kota,10430842,,
baru,10375328,,
jika,10223189,,
masyarakat,10150093,,
masih,10125836,,
sangat,9925582,,
hari,9850412,,
tak,9767275,,
bagi,9702310,,
jadi,9554156,,
para,9533125,,
beberapa,9449438,,
lain,9433012,,
the,9415949,,
kepada,9334020,,
jakarta,9226010,,
merupakan,9202829,,
baik,9140796,,
dia,8988647,,
salah,8822001,,
namun,8790742,,
a,8530871,,
melakukan,8411971,,
kata,8346981,,
saja,8168050,,
rumah,7959698,,
membuat,7822724,,
anak,7776807,,
pemerintah,7758472,,
dilakukan,7744063,,
setelah,7738597,,
tapi,7669173,,
semua,7665189,,
besar,7661726,,
lagi,7623512,,
lalu,7496011,,
wib,7445953,,
serta,7436172,,
hingga,7286655,,
sama,7207343,,
dua,7160280,,
atas,7094660,,
of,7069120,,
sehingga,7048299,,
waktu,7046295,,
terhadap,7025491,,
tentang,7003050,,
menggunakan,7002145,,
harga,6977341,,
daerah,6951428,,
hasil,6914754,,
rp,6872635,,
belum,6837405,,
ia,6764793,,
apa,6728548,,
agar,6603321,,
negara,6517477,,
air,6491141,,
cara,6489811,,
dunia,6471106,,
kabupaten,6341809,,
kalau,6311300,,
memberikan,6228876,,
kamu,6203603,,
melalui,6164559,,
sampai,6158816,,
kerja,6083283,,
and,6042646,,
maka,6027409,,
antara,5983517,,
terjadi,5967987,,
data,5881630,,
selama,5846087,,
sebuah,5841927,,
selain,5820784,,
pun,5786579,,
tempat,5766329,,
kali,5731753,,
program,5686000,,
kesehatan,5579801,,
jalan,5519445,,
ingin,5514262,,
lainnya,5507607,,
kegiatan,5487603,,
sendiri,5476713,,
langsung,5469320,,
mulai,5452499,,
setiap,5437236,,
mengatakan,5433588,,
tim,5432706,,
perusahaan,5382233,,
bukan,5372768,,
yaitu,5330085,,
informasi,5284440,,
tinggi,5281428,,
berbagai,5279741,,
pertama,5232670,,
id,5207172,,
ketika,5103773,,
sistem,5096232,,
ya,5057002,,
kembali,5045785,,
warga,5041009,,
bersama,4942315,,
memang,4915889,,
proses,4907131,,
cukup,4872363,,
yg,4864990,,
desa,4861345,,
by,4818227,,
bagian,4802922,,
tetap,4790554,,
perlu,4775638,,
menurut,4747367,,
produk,4641995,,
pendidikan,4621640,,
bulan,4565367,,
to,4505395,,
mungkin,4497345,,
in,4449310,,
nasional,4424023,,
kepala,4411662,,
paling,4378297,,
digunakan,4370016,,
kemudian,4356768,,
terus,4352357,,
sekitar,4351090,,
seorang,4268574,,
sementara,4230368,,
bahkan,4224193,,
foto,4214457,,
mau,4188301,,
sesuai,4168044,,
i,4156254,,
masuk,4152074,,
tetapi,4093296,,
kedua,4085028,,
jumlah,4080367,,
pt,4073469,,
masalah,4056561,,
pernah,4031752,,
penelitian,4026871,,
media,3999606,,
diri,3999059,,
berita,3969207,,
ekonomi,3959591,,
kondisi,3959462,,
umum,3943650,,
sekolah,3934491,,
on,3908335,,
tanpa,3899837,,
kasus,3899334,,
mobil,3894835,,
luar,3869217,,
seluruh,3867436,,
sebelumnya,3853315,,
tengah,3838265,,
tiga,3830940,,
b,3805515,,
